dim1,clicks,impressions,ctr,position
2026-05-20,0,0,0,0
2026-05-21,0,0,0,0
2026-05-22,0,0,0,0
2026-05-23,0,0,0,0
2026-05-24,0,0,0,0
2026-05-25,0,0,0,0
2026-05-26,0,0,0,0
2026-05-27,0,1,0,1
2026-05-28,0,0,0,0
2026-05-29,0,0,0,0
2026-05-30,0,0,0,0
2026-06-01,0,0,0,0
